County Formatted,County,State Formatted,State
Richland Parish,RICHLANDPARISH,Louisiana,LOUISIANA
Sabine Parish,SABINEPARISH,Louisiana,LOUISIANA
St. Bernard Parish,ST.BERNARDPARISH,Louisiana,LOUISIANA
St. Charles Parish,ST.CHARLESPARISH,Louisiana,LOUISIANA
St. Helena Parish,ST.HELENAPARISH,Louisiana,LOUISIANA
St. James Parish,ST.JAMESPARISH,Louisiana,LOUISIANA
St. John the Baptist Parish,ST.JOHNTHEBAPTISTPARISH,Louisiana,LOUISIANA
St. Landry Parish,ST.LANDRYPARISH,Louisiana,LOUISIANA
St. Martin Parish,ST.MARTINPARISH,Louisiana,LOUISIANA
St. Mary Parish,ST.MARYPARISH,Louisiana,LOUISIANA
St. Tammany Parish,ST.TAMMANYPARISH,Louisiana,LOUISIANA
Tangipahoa Parish,TANGIPAHOAPARISH,Louisiana,LOUISIANA
Tensas Parish,TENSASPARISH,Louisiana,LOUISIANA
Terrebonne Parish,TERREBONNEPARISH,Louisiana,LOUISIANA
Union Parish,UNIONPARISH,Louisiana,LOUISIANA
Vermilion Parish,VERMILIONPARISH,Louisiana,LOUISIANA
Vernon Parish,VERNONPARISH,Louisiana,LOUISIANA
Washington Parish,WASHINGTONPARISH,Louisiana,LOUISIANA
Webster Parish,WEBSTERPARISH,Louisiana,LOUISIANA
West Baton Rouge Parish,WESTBATONROUGEPARISH,Louisiana,LOUISIANA
West Carroll Parish,WESTCARROLLPARISH,Louisiana,LOUISIANA
West Feliciana Parish,WESTFELICIANAPARISH,Louisiana,LOUISIANA
Winn Parish,WINNPARISH,Louisiana,LOUISIANA
Androscoggin,ANDROSCOGGIN,Maine,MAINE
Aroostook,AROOSTOOK,Maine,MAINE
Cumberland,CUMBERLAND,Maine,MAINE
Franklin,FRANKLIN,Maine,MAINE
Hancock,HANCOCK,Maine,MAINE
Kennebec,KENNEBEC,Maine,MAINE
Knox,KNOX,Maine,MAINE
Lincoln,LINCOLN,Maine,MAINE
Oxford,OXFORD,Maine,MAINE
Penobscot,PENOBSCOT,Maine,MAINE
Piscataquis,PISCATAQUIS,Maine,MAINE
Sagadahoc,SAGADAHOC,Maine,MAINE
Somerset,SOMERSET,Maine,MAINE
Waldo,WALDO,Maine,MAINE
Washington,WASHINGTON,Maine,MAINE
York,YORK,Maine,MAINE
Allegany,ALLEGANY,Maryland,MARYLAND
Anne Arundel,ANNEARUNDEL,Maryland,MARYLAND
Baltimore,BALTIMORE,Maryland,MARYLAND
Calvert,CALVERT,Maryland,MARYLAND
Caroline,CAROLINE,Maryland,MARYLAND
Carroll,CARROLL,Maryland,MARYLAND
Cecil,CECIL,Maryland,MARYLAND
Charles,CHARLES,Maryland,MARYLAND
Dorchester,DORCHESTER,Maryland,MARYLAND
Frederick,FREDERICK,Maryland,MARYLAND
Garrett,GARRETT,Maryland,MARYLAND
Harford,HARFORD,Maryland,MARYLAND
Howard,HOWARD,Maryland,MARYLAND
Kent,KENT,Maryland,MARYLAND
Montgomery,MONTGOMERY,Maryland,MARYLAND
Prince George's,PRINCEGEORGE'S,Maryland,MARYLAND
Queen Anne's,QUEENANNE'S,Maryland,MARYLAND
St. Mary's,ST.MARY'S,Maryland,MARYLAND
Somerset,SOMERSET,Maryland,MARYLAND
Talbot,TALBOT,Maryland,MARYLAND
Washington,WASHINGTON,Maryland,MARYLAND
Wicomico,WICOMICO,Maryland,MARYLAND
Worcester,WORCESTER,Maryland,MARYLAND
Baltimore city,BALTIMORECITY,Maryland,MARYLAND
Barnstable,BARNSTABLE,Massachusetts,MASSACHUSETTS
Berkshire,BERKSHIRE,Massachusetts,MASSACHUSETTS
Bristol,BRISTOL,Massachusetts,MASSACHUSETTS
Dukes,DUKES,Massachusetts,MASSACHUSETTS
Essex,ESSEX,Massachusetts,MASSACHUSETTS
Franklin,FRANKLIN,Massachusetts,MASSACHUSETTS
Hampden,HAMPDEN,Massachusetts,MASSACHUSETTS
Hampshire,HAMPSHIRE,Massachusetts,MASSACHUSETTS
Middlesex,MIDDLESEX,Massachusetts,MASSACHUSETTS
Nantucket,NANTUCKET,Massachusetts,MASSACHUSETTS
Norfolk,NORFOLK,Massachusetts,MASSACHUSETTS
Plymouth,PLYMOUTH,Massachusetts,MASSACHUSETTS
Suffolk,SUFFOLK,Massachusetts,MASSACHUSETTS
Worcester,WORCESTER,Massachusetts,MASSACHUSETTS
Alcona,ALCONA,Michigan,MICHIGAN
Alger,ALGER,Michigan,MICHIGAN
Allegan,ALLEGAN,Michigan,MICHIGAN
Alpena,ALPENA,Michigan,MICHIGAN
Antrim,ANTRIM,Michigan,MICHIGAN
Arenac,ARENAC,Michigan,MICHIGAN
Baraga,BARAGA,Michigan,MICHIGAN
Barry,BARRY,Michigan,MICHIGAN
Bay,BAY,Michigan,MICHIGAN
Benzie,BENZIE,Michigan,MICHIGAN
Berrien,BERRIEN,Michigan,MICHIGAN
Branch,BRANCH,Michigan,MICHIGAN
Calhoun,CALHOUN,Michigan,MICHIGAN
Cass,CASS,Michigan,MICHIGAN
Charlevoix,CHARLEVOIX,Michigan,MICHIGAN
Cheboygan,CHEBOYGAN,Michigan,MICHIGAN
Chippewa,CHIPPEWA,Michigan,MICHIGAN
Clare,CLARE,Michigan,MICHIGAN
Clinton,CLINTON,Michigan,MICHIGAN
Crawford,CRAWFORD,Michigan,MICHIGAN
Delta,DELTA,Michigan,MICHIGAN
Dickinson,DICKINSON,Michigan,MICHIGAN
Eaton,EATON,Michigan,MICHIGAN
Emmet,EMMET,Michigan,MICHIGAN
Genesee,GENESEE,Michigan,MICHIGAN
Gladwin,GLADWIN,Michigan,MICHIGAN
Gogebic,GOGEBIC,Michigan,MICHIGAN
Grand Traverse,GRANDTRAVERSE,Michigan,MICHIGAN
Gratiot,GRATIOT,Michigan,MICHIGAN
Hillsdale,HILLSDALE,Michigan,MICHIGAN
Houghton,HOUGHTON,Michigan,MICHIGAN
Huron,HURON,Michigan,MICHIGAN
Ingham,INGHAM,Michigan,MICHIGAN
Ionia,IONIA,Michigan,MICHIGAN
Iosco,IOSCO,Michigan,MICHIGAN
Iron,IRON,Michigan,MICHIGAN
Isabella,ISABELLA,Michigan,MICHIGAN
Jackson,JACKSON,Michigan,MICHIGAN
Kalamazoo,KALAMAZOO,Michigan,MICHIGAN
Kalkaska,KALKASKA,Michigan,MICHIGAN
Kent,KENT,Michigan,MICHIGAN
Keweenaw,KEWEENAW,Michigan,MICHIGAN
Lake,LAKE,Michigan,MICHIGAN
Lapeer,LAPEER,Michigan,MICHIGAN
Leelanau,LEELANAU,Michigan,MICHIGAN
Lenawee,LENAWEE,Michigan,MICHIGAN
Livingston,LIVINGSTON,Michigan,MICHIGAN
Luce,LUCE,Michigan,MICHIGAN
Mackinac,MACKINAC,Michigan,MICHIGAN
Macomb,MACOMB,Michigan,MICHIGAN
Manistee,MANISTEE,Michigan,MICHIGAN
Marquette,MARQUETTE,Michigan,MICHIGAN
Mason,MASON,Michigan,MICHIGAN
Mecosta,MECOSTA,Michigan,MICHIGAN
Menominee,MENOMINEE,Michigan,MICHIGAN
Midland,MIDLAND,Michigan,MICHIGAN
Missaukee,MISSAUKEE,Michigan,MICHIGAN
Monroe,MONROE,Michigan,MICHIGAN
Montcalm,MONTCALM,Michigan,MICHIGAN
Montmorency,MONTMORENCY,Michigan,MICHIGAN
Muskegon,MUSKEGON,Michigan,MICHIGAN
Newaygo,NEWAYGO,Michigan,MICHIGAN
Oakland,OAKLAND,Michigan,MICHIGAN
Oceana,OCEANA,Michigan,MICHIGAN
Ogemaw,OGEMAW,Michigan,MICHIGAN
Ontonagon,ONTONAGON,Michigan,MICHIGAN
Osceola,OSCEOLA,Michigan,MICHIGAN
Oscoda,OSCODA,Michigan,MICHIGAN
Otsego,OTSEGO,Michigan,MICHIGAN
Ottawa,OTTAWA,Michigan,MICHIGAN
Presque Isle,PRESQUEISLE,Michigan,MICHIGAN
Roscommon,ROSCOMMON,Michigan,MICHIGAN
Saginaw,SAGINAW,Michigan,MICHIGAN
St. Clair,ST.CLAIR,Michigan,MICHIGAN
St. Joseph,ST.JOSEPH,Michigan,MICHIGAN
Sanilac,SANILAC,Michigan,MICHIGAN
Schoolcraft,SCHOOLCRAFT,Michigan,MICHIGAN
Shiawassee,SHIAWASSEE,Michigan,MICHIGAN
Tuscola,TUSCOLA,Michigan,MICHIGAN
Van Buren,VANBUREN,Michigan,MICHIGAN
Washtenaw,WASHTENAW,Michigan,MICHIGAN
Wayne,WAYNE,Michigan,MICHIGAN
Wexford,WEXFORD,Michigan,MICHIGAN
Aitkin,AITKIN,Minnesota,MINNESOTA
Anoka,ANOKA,Minnesota,MINNESOTA
Becker,BECKER,Minnesota,MINNESOTA
Beltrami,BELTRAMI,Minnesota,MINNESOTA
Benton,BENTON,Minnesota,MINNESOTA
Big Stone,BIGSTONE,Minnesota,MINNESOTA
Blue Earth,BLUEEARTH,Minnesota,MINNESOTA
Brown,BROWN,Minnesota,MINNESOTA
Carlton,CARLTON,Minnesota,MINNESOTA
Carver,CARVER,Minnesota,MINNESOTA
Cass,CASS,Minnesota,MINNESOTA
Chippewa,CHIPPEWA,Minnesota,MINNESOTA
Chisago,CHISAGO,Minnesota,MINNESOTA
Clay,CLAY,Minnesota,MINNESOTA
Clearwater,CLEARWATER,Minnesota,MINNESOTA
Cook,COOK,Minnesota,MINNESOTA
Cottonwood,COTTONWOOD,Minnesota,MINNESOTA
Crow Wing,CROWWING,Minnesota,MINNESOTA
Dakota,DAKOTA,Minnesota,MINNESOTA
Dodge,DODGE,Minnesota,MINNESOTA
Douglas,DOUGLAS,Minnesota,MINNESOTA
Faribault,FARIBAULT,Minnesota,MINNESOTA
Fillmore,FILLMORE,Minnesota,MINNESOTA
Freeborn,FREEBORN,Minnesota,MINNESOTA
Goodhue,GOODHUE,Minnesota,MINNESOTA
Grant,GRANT,Minnesota,MINNESOTA
Hennepin,HENNEPIN,Minnesota,MINNESOTA
Houston,HOUSTON,Minnesota,MINNESOTA
Hubbard,HUBBARD,Minnesota,MINNESOTA
Isanti,ISANTI,Minnesota,MINNESOTA
Itasca,ITASCA,Minnesota,MINNESOTA
Jackson,JACKSON,Minnesota,MINNESOTA
Kanabec,KANABEC,Minnesota,MINNESOTA
Kandiyohi,KANDIYOHI,Minnesota,MINNESOTA
Kittson,KITTSON,Minnesota,MINNESOTA
Koochiching,KOOCHICHING,Minnesota,MINNESOTA
Lac qui Parle,LACQUIPARLE,Minnesota,MINNESOTA
Lake,LAKE,Minnesota,MINNESOTA
Lake of the Woods,LAKEOFTHEWOODS,Minnesota,MINNESOTA
Le Sueur,LESUEUR,Minnesota,MINNESOTA
Lincoln,LINCOLN,Minnesota,MINNESOTA
Lyon,LYON,Minnesota,MINNESOTA
McLeod,MCLEOD,Minnesota,MINNESOTA
Mahnomen,MAHNOMEN,Minnesota,MINNESOTA
Marshall,MARSHALL,Minnesota,MINNESOTA
Martin,MARTIN,Minnesota,MINNESOTA
Meeker,MEEKER,Minnesota,MINNESOTA
Mille Lacs,MILLELACS,Minnesota,MINNESOTA
Morrison,MORRISON,Minnesota,MINNESOTA
Mower,MOWER,Minnesota,MINNESOTA
Murray,MURRAY,Minnesota,MINNESOTA
Nicollet,NICOLLET,Minnesota,MINNESOTA
Nobles,NOBLES,Minnesota,MINNESOTA
Norman,NORMAN,Minnesota,MINNESOTA
Olmsted,OLMSTED,Minnesota,MINNESOTA
Todd,TODD,Minnesota,MINNESOTA
Pennington,PENNINGTON,Minnesota,MINNESOTA
Pine,PINE,Minnesota,MINNESOTA
Pipestone,PIPESTONE,Minnesota,MINNESOTA
Polk,POLK,Minnesota,MINNESOTA
Pope,POPE,Minnesota,MINNESOTA
Ramsey,RAMSEY,Minnesota,MINNESOTA
Red Lake,REDLAKE,Minnesota,MINNESOTA
Redwood,REDWOOD,Minnesota,MINNESOTA
Renville,RENVILLE,Minnesota,MINNESOTA
Rice,RICE,Minnesota,MINNESOTA
Rock,ROCK,Minnesota,MINNESOTA
Roseau,ROSEAU,Minnesota,MINNESOTA
St. Louis,ST.LOUIS,Minnesota,MINNESOTA
Scott,SCOTT,Minnesota,MINNESOTA
Sherburne,SHERBURNE,Minnesota,MINNESOTA
Sibley,SIBLEY,Minnesota,MINNESOTA
Stearns,STEARNS,Minnesota,MINNESOTA
Steele,STEELE,Minnesota,MINNESOTA
Stevens,STEVENS,Minnesota,MINNESOTA
Swift,SWIFT,Minnesota,MINNESOTA
Todd,TODD,Minnesota,MINNESOTA
Traverse,TRAVERSE,Minnesota,MINNESOTA
Wabasha,WABASHA,Minnesota,MINNESOTA
Wadena,WADENA,Minnesota,MINNESOTA
Waseca,WASECA,Minnesota,MINNESOTA
Washington,WASHINGTON,Minnesota,MINNESOTA
Wilkin,WILKIN,Minnesota,MINNESOTA
Winona,WINONA,Minnesota,MINNESOTA
Wright,WRIGHT,Minnesota,MINNESOTA
Yellow Medicine,YELLOWMEDICINE,Minnesota,MINNESOTA
Adams,ADAMS,Mississippi,MISSISSIPPI
Alcorn,ALCORN,Mississippi,MISSISSIPPI
Amite,AMITE,Mississippi,MISSISSIPPI
Attala,ATTALA,Mississippi,MISSISSIPPI
Benton,BENTON,Mississippi,MISSISSIPPI
Bolivar,BOLIVAR,Mississippi,MISSISSIPPI
Calhoun,CALHOUN,Mississippi,MISSISSIPPI
Carroll,CARROLL,Mississippi,MISSISSIPPI
Chickasaw,CHICKASAW,Mississippi,MISSISSIPPI
Choctaw,CHOCTAW,Mississippi,MISSISSIPPI
Claiborne,CLAIBORNE,Mississippi,MISSISSIPPI
Clarke,CLARKE,Mississippi,MISSISSIPPI
Clay,CLAY,Mississippi,MISSISSIPPI
Coahoma,COAHOMA,Mississippi,MISSISSIPPI
Copiah,COPIAH,Mississippi,MISSISSIPPI
Covington,COVINGTON,Mississippi,MISSISSIPPI
DeSoto,DESOTO,Mississippi,MISSISSIPPI
Forrest,FORREST,Mississippi,MISSISSIPPI
Franklin,FRANKLIN,Mississippi,MISSISSIPPI
George,GEORGE,Mississippi,MISSISSIPPI
Greene,GREENE,Mississippi,MISSISSIPPI
Grenada,GRENADA,Mississippi,MISSISSIPPI
Hancock,HANCOCK,Mississippi,MISSISSIPPI
Harrison,HARRISON,Mississippi,MISSISSIPPI
Hinds,HINDS,Mississippi,MISSISSIPPI
Holmes,HOLMES,Mississippi,MISSISSIPPI
Humphreys,HUMPHREYS,Mississippi,MISSISSIPPI
Issaquena,ISSAQUENA,Mississippi,MISSISSIPPI
Itawamba,ITAWAMBA,Mississippi,MISSISSIPPI
Jackson,JACKSON,Mississippi,MISSISSIPPI
Jasper,JASPER,Mississippi,MISSISSIPPI
Jefferson,JEFFERSON,Mississippi,MISSISSIPPI
Jefferson Davis,JEFFERSONDAVIS,Mississippi,MISSISSIPPI
Jones,JONES,Mississippi,MISSISSIPPI
Kemper,KEMPER,Mississippi,MISSISSIPPI
Lafayette,LAFAYETTE,Mississippi,MISSISSIPPI
Lamar,LAMAR,Mississippi,MISSISSIPPI
Lauderdale,LAUDERDALE,Mississippi,MISSISSIPPI
Lawrence,LAWRENCE,Mississippi,MISSISSIPPI
Leake,LEAKE,Mississippi,MISSISSIPPI
Lee,LEE,Mississippi,MISSISSIPPI
Leflore,LEFLORE,Mississippi,MISSISSIPPI
Lincoln,LINCOLN,Mississippi,MISSISSIPPI
Lowndes,LOWNDES,Mississippi,MISSISSIPPI
Madison,MADISON,Mississippi,MISSISSIPPI
Marion,MARION,Mississippi,MISSISSIPPI
Marshall,MARSHALL,Mississippi,MISSISSIPPI
Monroe,MONROE,Mississippi,MISSISSIPPI
Montgomery,MONTGOMERY,Mississippi,MISSISSIPPI
Neshoba,NESHOBA,Mississippi,MISSISSIPPI
Newton,NEWTON,Mississippi,MISSISSIPPI
Noxubee,NOXUBEE,Mississippi,MISSISSIPPI
Oktibbeha,OKTIBBEHA,Mississippi,MISSISSIPPI
Panola,PANOLA,Mississippi,MISSISSIPPI
Pearl River,PEARLRIVER,Mississippi,MISSISSIPPI
Perry,PERRY,Mississippi,MISSISSIPPI
Pike,PIKE,Mississippi,MISSISSIPPI
Pontotoc,PONTOTOC,Mississippi,MISSISSIPPI
Prentiss,PRENTISS,Mississippi,MISSISSIPPI
Quitman,QUITMAN,Mississippi,MISSISSIPPI
Rankin,RANKIN,Mississippi,MISSISSIPPI
Scott,SCOTT,Mississippi,MISSISSIPPI
Sharkey,SHARKEY,Mississippi,MISSISSIPPI
Simpson,SIMPSON,Mississippi,MISSISSIPPI
Smith,SMITH,Mississippi,MISSISSIPPI
Stone,STONE,Mississippi,MISSISSIPPI
Sunflower,SUNFLOWER,Mississippi,MISSISSIPPI
Tallahatchie,TALLAHATCHIE,Mississippi,MISSISSIPPI
Tate,TATE,Mississippi,MISSISSIPPI
Tippah,TIPPAH,Mississippi,MISSISSIPPI
Tishomingo,TISHOMINGO,Mississippi,MISSISSIPPI
Tunica,TUNICA,Mississippi,MISSISSIPPI
Union,UNION,Mississippi,MISSISSIPPI
Walthall,WALTHALL,Mississippi,MISSISSIPPI
Warren,WARREN,Mississippi,MISSISSIPPI
Washington,WASHINGTON,Mississippi,MISSISSIPPI
Wayne,WAYNE,Mississippi,MISSISSIPPI
Webster,WEBSTER,Mississippi,MISSISSIPPI
Wilkinson,WILKINSON,Mississippi,MISSISSIPPI
Winston,WINSTON,Mississippi,MISSISSIPPI
Yalobusha,YALOBUSHA,Mississippi,MISSISSIPPI
Yazoo,YAZOO,Mississippi,MISSISSIPPI
Adair,ADAIR,Missouri,MISSOURI
Andrew,ANDREW,Missouri,MISSOURI
Atchison,ATCHISON,Missouri,MISSOURI
Audrain,AUDRAIN,Missouri,MISSOURI
Barry,BARRY,Missouri,MISSOURI
Barton,BARTON,Missouri,MISSOURI
Bates,BATES,Missouri,MISSOURI
Benton,BENTON,Missouri,MISSOURI
Bollinger,BOLLINGER,Missouri,MISSOURI
Boone,BOONE,Missouri,MISSOURI
Buchanan,BUCHANAN,Missouri,MISSOURI
Butler,BUTLER,Missouri,MISSOURI
Caldwell,CALDWELL,Missouri,MISSOURI
Callaway,CALLAWAY,Missouri,MISSOURI
Camden,CAMDEN,Missouri,MISSOURI
Cape Girardeau,CAPEGIRARDEAU,Missouri,MISSOURI
Carroll,CARROLL,Missouri,MISSOURI
Carter,CARTER,Missouri,MISSOURI
Cass,CASS,Missouri,MISSOURI
Cedar,CEDAR,Missouri,MISSOURI
Chariton,CHARITON,Missouri,MISSOURI
Christian,CHRISTIAN,Missouri,MISSOURI
Clark,CLARK,Missouri,MISSOURI
Clay,CLAY,Missouri,MISSOURI
Clinton,CLINTON,Missouri,MISSOURI
Cole,COLE,Missouri,MISSOURI
Cooper,COOPER,Missouri,MISSOURI
Crawford,CRAWFORD,Missouri,MISSOURI
Dade,DADE,Missouri,MISSOURI
Dallas,DALLAS,Missouri,MISSOURI
Daviess,DAVIESS,Missouri,MISSOURI
DeKalb,DEKALB,Missouri,MISSOURI
Dent,DENT,Missouri,MISSOURI
Douglas,DOUGLAS,Missouri,MISSOURI
Dunklin,DUNKLIN,Missouri,MISSOURI
Franklin,FRANKLIN,Missouri,MISSOURI
Gasconade,GASCONADE,Missouri,MISSOURI
Gentry,GENTRY,Missouri,MISSOURI
Greene,GREENE,Missouri,MISSOURI
Grundy,GRUNDY,Missouri,MISSOURI
Harrison,HARRISON,Missouri,MISSOURI
Henry,HENRY,Missouri,MISSOURI
Hickory,HICKORY,Missouri,MISSOURI
Holt,HOLT,Missouri,MISSOURI
Howard,HOWARD,Missouri,MISSOURI
Howell,HOWELL,Missouri,MISSOURI
Iron,IRON,Missouri,MISSOURI
Jackson,JACKSON,Missouri,MISSOURI
Jasper,JASPER,Missouri,MISSOURI
Jefferson,JEFFERSON,Missouri,MISSOURI
Johnson,JOHNSON,Missouri,MISSOURI
Knox,KNOX,Missouri,MISSOURI
Laclede,LACLEDE,Missouri,MISSOURI
Lafayette,LAFAYETTE,Missouri,MISSOURI
Lawrence,LAWRENCE,Missouri,MISSOURI
Lewis,LEWIS,Missouri,MISSOURI
Lincoln,LINCOLN,Missouri,MISSOURI
Linn,LINN,Missouri,MISSOURI
Livingston,LIVINGSTON,Missouri,MISSOURI
McDonald,MCDONALD,Missouri,MISSOURI
Macon,MACON,Missouri,MISSOURI
Madison,MADISON,Missouri,MISSOURI
Maries,MARIES,Missouri,MISSOURI
Marion,MARION,Missouri,MISSOURI
Mercer,MERCER,Missouri,MISSOURI
Miller,MILLER,Missouri,MISSOURI
Mississippi,MISSISSIPPI,Missouri,MISSOURI
Moniteau,MONITEAU,Missouri,MISSOURI
Monroe,MONROE,Missouri,MISSOURI
Montgomery,MONTGOMERY,Missouri,MISSOURI
Morgan,MORGAN,Missouri,MISSOURI
New Madrid,NEWMADRID,Missouri,MISSOURI
Newton,NEWTON,Missouri,MISSOURI
Nodaway,NODAWAY,Missouri,MISSOURI
Oregon,OREGON,Missouri,MISSOURI
Osage,OSAGE,Missouri,MISSOURI
Ozark,OZARK,Missouri,MISSOURI
Pemiscot,PEMISCOT,Missouri,MISSOURI
Perry,PERRY,Missouri,MISSOURI
Pettis,PETTIS,Missouri,MISSOURI
Phelps,PHELPS,Missouri,MISSOURI
Pike,PIKE,Missouri,MISSOURI
Platte,PLATTE,Missouri,MISSOURI
Polk,POLK,Missouri,MISSOURI
Pulaski,PULASKI,Missouri,MISSOURI
Putnam,PUTNAM,Missouri,MISSOURI
Ralls,RALLS,Missouri,MISSOURI
Randolph,RANDOLPH,Missouri,MISSOURI
Ray,RAY,Missouri,MISSOURI
Reynolds,REYNOLDS,Missouri,MISSOURI
Ripley,RIPLEY,Missouri,MISSOURI
St. Charles,ST.CHARLES,Missouri,MISSOURI
St. Clair,ST.CLAIR,Missouri,MISSOURI
Ste. Genevieve,STE.GENEVIEVE,Missouri,MISSOURI
St. Francois,ST.FRANCOIS,Missouri,MISSOURI
St. Louis,ST.LOUIS,Missouri,MISSOURI
Saline,SALINE,Missouri,MISSOURI
Schuyler,SCHUYLER,Missouri,MISSOURI
Scotland,SCOTLAND,Missouri,MISSOURI
Scott,SCOTT,Missouri,MISSOURI
Shannon,SHANNON,Missouri,MISSOURI
Shelby,SHELBY,Missouri,MISSOURI
Stoddard,STODDARD,Missouri,MISSOURI
Stone,STONE,Missouri,MISSOURI
Sullivan,SULLIVAN,Missouri,MISSOURI
Taney,TANEY,Missouri,MISSOURI
Texas,TEXAS,Missouri,MISSOURI
Vernon,VERNON,Missouri,MISSOURI
Warren,WARREN,Missouri,MISSOURI
Washington,WASHINGTON,Missouri,MISSOURI
Wayne,WAYNE,Missouri,MISSOURI
Webster,WEBSTER,Missouri,MISSOURI
Worth,WORTH,Missouri,MISSOURI
Wright,WRIGHT,Missouri,MISSOURI
St. Louis city,ST.LOUISCITY,Missouri,MISSOURI
Beaverhead,BEAVERHEAD,Montana,MONTANA
Big Horn,BIGHORN,Montana,MONTANA
Blaine,BLAINE,Montana,MONTANA
Broadwater,BROADWATER,Montana,MONTANA
Carbon,CARBON,Montana,MONTANA
Carter,CARTER,Montana,MONTANA
Cascade,CASCADE,Montana,MONTANA
Chouteau,CHOUTEAU,Montana,MONTANA
Custer,CUSTER,Montana,MONTANA
Daniels,DANIELS,Montana,MONTANA
Dawson,DAWSON,Montana,MONTANA
Deer Lodge,DEERLODGE,Montana,MONTANA
Fallon,FALLON,Montana,MONTANA
Fergus,FERGUS,Montana,MONTANA
Flathead,FLATHEAD,Montana,MONTANA
Gallatin,GALLATIN,Montana,MONTANA
Garfield,GARFIELD,Montana,MONTANA
Glacier,GLACIER,Montana,MONTANA
Golden Valley,GOLDENVALLEY,Montana,MONTANA
Granite,GRANITE,Montana,MONTANA
Hill,HILL,Montana,MONTANA
Jefferson,JEFFERSON,Montana,MONTANA
Judith Basin,JUDITHBASIN,Montana,MONTANA
Lake,LAKE,Montana,MONTANA
Lewis and Clark,LEWISANDCLARK,Montana,MONTANA
Liberty,LIBERTY,Montana,MONTANA
Lincoln,LINCOLN,Montana,MONTANA
McCone,MCCONE,Montana,MONTANA
Madison,MADISON,Montana,MONTANA
Meagher,MEAGHER,Montana,MONTANA
Mineral,MINERAL,Montana,MONTANA
Missoula,MISSOULA,Montana,MONTANA
Musselshell,MUSSELSHELL,Montana,MONTANA
Park,PARK,Montana,MONTANA
Petroleum,PETROLEUM,Montana,MONTANA
Phillips,PHILLIPS,Montana,MONTANA
Pondera,PONDERA,Montana,MONTANA
Powder River,POWDERRIVER,Montana,MONTANA
Powell,POWELL,Montana,MONTANA
Prairie,PRAIRIE,Montana,MONTANA
Ravalli,RAVALLI,Montana,MONTANA
Richland,RICHLAND,Montana,MONTANA
Roosevelt,ROOSEVELT,Montana,MONTANA
Rosebud,ROSEBUD,Montana,MONTANA
Sanders,SANDERS,Montana,MONTANA
Sheridan,SHERIDAN,Montana,MONTANA
Silver Bow,SILVERBOW,Montana,MONTANA
Stillwater,STILLWATER,Montana,MONTANA
Sweet Grass,SWEETGRASS,Montana,MONTANA
Teton,TETON,Montana,MONTANA
Toole,TOOLE,Montana,MONTANA
Treasure,TREASURE,Montana,MONTANA
Valley,VALLEY,Montana,MONTANA
Wheatland,WHEATLAND,Montana,MONTANA
Wibaux,WIBAUX,Montana,MONTANA
Yellowstone,YELLOWSTONE,Montana,MONTANA
Adams,ADAMS,Nebraska,NEBRASKA
Antelope,ANTELOPE,Nebraska,NEBRASKA
Arthur,ARTHUR,Nebraska,NEBRASKA
Banner,BANNER,Nebraska,NEBRASKA
Blaine,BLAINE,Nebraska,NEBRASKA
Boone,BOONE,Nebraska,NEBRASKA
Box Butte,BOXBUTTE,Nebraska,NEBRASKA
Boyd,BOYD,Nebraska,NEBRASKA
Brown,BROWN,Nebraska,NEBRASKA
Buffalo,BUFFALO,Nebraska,NEBRASKA
Burt,BURT,Nebraska,NEBRASKA
Butler,BUTLER,Nebraska,NEBRASKA
Cass,CASS,Nebraska,NEBRASKA
Cedar,CEDAR,Nebraska,NEBRASKA
Chase,CHASE,Nebraska,NEBRASKA
Cherry,CHERRY,Nebraska,NEBRASKA
Cheyenne,CHEYENNE,Nebraska,NEBRASKA
Clay,CLAY,Nebraska,NEBRASKA
Colfax,COLFAX,Nebraska,NEBRASKA
Cuming,CUMING,Nebraska,NEBRASKA
Custer,CUSTER,Nebraska,NEBRASKA
Dakota,DAKOTA,Nebraska,NEBRASKA
Dawes,DAWES,Nebraska,NEBRASKA
Dawson,DAWSON,Nebraska,NEBRASKA
Deuel,DEUEL,Nebraska,NEBRASKA
Dixon,DIXON,Nebraska,NEBRASKA
Dodge,DODGE,Nebraska,NEBRASKA
Douglas,DOUGLAS,Nebraska,NEBRASKA
Dundy,DUNDY,Nebraska,NEBRASKA
Fillmore,FILLMORE,Nebraska,NEBRASKA
Franklin,FRANKLIN,Nebraska,NEBRASKA
Frontier,FRONTIER,Nebraska,NEBRASKA
Furnas,FURNAS,Nebraska,NEBRASKA
Gage,GAGE,Nebraska,NEBRASKA
Garden,GARDEN,Nebraska,NEBRASKA
Garfield,GARFIELD,Nebraska,NEBRASKA
Gosper,GOSPER,Nebraska,NEBRASKA
Grant,GRANT,Nebraska,NEBRASKA
Greeley,GREELEY,Nebraska,NEBRASKA
Hall,HALL,Nebraska,NEBRASKA
Hamilton,HAMILTON,Nebraska,NEBRASKA
Harlan,HARLAN,Nebraska,NEBRASKA
Hayes,HAYES,Nebraska,NEBRASKA
Hitchcock,HITCHCOCK,Nebraska,NEBRASKA
Holt,HOLT,Nebraska,NEBRASKA
Hooker,HOOKER,Nebraska,NEBRASKA
Howard,HOWARD,Nebraska,NEBRASKA
Jefferson,JEFFERSON,Nebraska,NEBRASKA
Johnson,JOHNSON,Nebraska,NEBRASKA
