"PROVIDER","NEW_PROV","STATUS17","SHORTNAME","PNAME","PCITY","PSTATE","PZIP","HSA","HSANAME","HRR","HRRNAME","FCOUNTY","FCNTYNAME","POSbeds","SYSNAME","AHAbeds","CATEGORY","TEACHSTATUS","HOSPTYPE","NCI_CENTER","EXCL_FLAG","ICU_FLAG"
"220075","220075","9.OK?","Massachusetts Eye & Ear Infirmary","MASSACHUSETTS EYE AND EAR INFIRMARY -","BOSTON","MA","02114",22006,"MA- BOSTON",227,"MA- BOSTON","25025","MA-Suffolk County",42,"Partners HealthCare System, Inc.",41,,,"4.Other acute care hosp",,"9.OK?",
"220077","220077","9.OK?","Baystate Medical Center","BAYSTATE MEDICAL CENTER","SPRINGFIELD","MA","01199",22058,"MA- SPRINGFIELD",230,"MA- SPRINGFIELD","25013","MA-Hampden County",688,"Baystate Health, Inc.",720,"Independent","Major Teaching","2.Other teaching hosp",,"9.OK?",
"220080","220080","9.OK?","Holy Family Hospital","HOLY FAMILY HOSPITAL","METHUEN","MA","01844",22034,"MA- METHUEN",227,"MA- BOSTON","25009","MA-Essex County",205,"Steward Health Care System, LLC",329,,,"4.Other acute care hosp",,"9.OK?",
"220083","220083","9.OK?","Beth Israel Deaconess - Needham","BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM","NEEDHAM","MA","02494",22040,"MA- NEEDHAM",227,"MA- BOSTON","25021","MA-Norfolk County",58,,46,,,"4.Other acute care hosp",,"9.OK?",
"220084","220084","9.OK?","Emerson Hospital","EMERSON HOSPITAL -","W CONCORD","MA","01742",22011,"MA- CONCORD",227,"MA- BOSTON","25017","MA-Middlesex County",118,,170,,,"4.Other acute care hosp",,"9.OK?",
"220086","220086","9.OK?","Beth Israel Deaconess - Boston","BETH ISRAEL DEACONESS MEDICAL CENTER","BOSTON","MA","02215",22006,"MA- BOSTON",227,"MA- BOSTON","25025","MA-Suffolk County",572,,704,"Integrated","Major Teaching","1.Integrated AMC",,"9.OK?",
"220088","220088","9.OK?","New England Baptist Hospital","NEW ENGLAND BAPTIST HOSPITAL","BOSTON","MA","02120",22006,"MA- BOSTON",227,"MA- BOSTON","25025","MA-Suffolk County",118,,113,,,"4.Other acute care hosp",,"9.OK?",
"220090","220090","9.OK?","Milford Regional Medical Center","MILFORD REGIONAL MEDICAL CENTER","MILFORD","MA","01757",22039,"MA- NATICK",227,"MA- BOSTON","25027","MA-Worcester County",107,,145,,,"4.Other acute care hosp",,"9.OK?",
"220095","220095","9.OK?","Heywood Hospital","HEYWOOD HOSPITAL -","GARDNER","MA","01440",22018,"MA- GARDNER",231,"MA- WORCESTER","25027","MA-Worcester County",114,"Heywood Healthcare",93,,,"4.Other acute care hosp",,"9.OK?",
"220098","220098","9.OK?","Nashoba Valley Medical Center","NASHOBA VALLEY MEDICAL CENTER","AYER","MA","01432",22004,"MA- AYER",227,"MA- BOSTON","25017","MA-Middlesex County",37,"Steward Health Care System, LLC",48,,,"4.Other acute care hosp",,"9.OK?",
"220100","220100","9.OK?","South Shore Hospital","SOUTH SHORE HOSPITAL","SOUTH WEYMOUTH","MA","02190",22056,"MA- SOUTH WEYMOUTH",227,"MA- BOSTON","25021","MA-Norfolk County",284,,387,,,"4.Other acute care hosp",,"9.OK?",
"220101","220101","9.OK?","Newton-Wellesley Hospital","NEWTON-WELLESLEY HOSPITAL","NEWTON","MA","02462",22043,"MA- NEWTON",227,"MA- BOSTON","25017","MA-Middlesex County",179,"Partners HealthCare System, Inc.",220,,,"4.Other acute care hosp",,"9.OK?",
"220105","220105","9.OK?","Winchester Hospital","WINCHESTER HOSPITAL","WINCHESTER","MA","01890",22067,"MA- WINCHESTER",227,"MA- BOSTON","25017","MA-Middlesex County",189,"Lahey Health",197,,,"4.Other acute care hosp",,"9.OK?",
"220108","220108","9.OK?","Beth Israel Deaconess Hosp. -Milton","BETH ISRAEL DEACONESS HOSPITAL-MILTON INC","MILTON","MA","02186",22037,"MA- MILTON",227,"MA- BOSTON","25021","MA-Norfolk County",81,,88,,,"4.Other acute care hosp",,"9.OK?",
"220110","220110","9.OK?","Brigham And Women's Hospital","BRIGHAM AND WOMEN'S HOSPITAL","BOSTON","MA","02115",22006,"MA- BOSTON",227,"MA- BOSTON","25025","MA-Suffolk County",663,"Partners HealthCare System, Inc.",761,"Independent","Major Teaching","2.Other teaching hosp",,"9.OK?",
"220111","220111","9.OK?","Good Samaritan Medical Center","GOOD SAMARITAN MEDICAL CENTER","BROCKTON","MA","02301",22007,"MA- BROCKTON",227,"MA- BOSTON","25023","MA-Plymouth County",215,"Steward Health Care System, LLC",190,,,"4.Other acute care hosp",,"9.OK?",
"220116","220116","9.OK?","Tufts Medical Center","TUFTS MEDICAL CENTER","BOSTON","MA","02111",22006,"MA- BOSTON",227,"MA- BOSTON","25025","MA-Suffolk County",375,,284,"Integrated","Major Teaching","1.Integrated AMC",,"9.OK?",
"220119","220119","9.OK?","Brigham & Womens Faulkner Hospital","BRIGHAM AND WOMEN'S FAULKNER HOSPITAL","BOSTON","MA","02130",22006,"MA- BOSTON",227,"MA- BOSTON","25025","MA-Suffolk County",129,"Partners HealthCare System, Inc.",144,,,"4.Other acute care hosp",,"9.OK?",
"220126","220126","9.OK?","Norwood Hospital","NORWOOD HOSPITAL","NORWOOD","MA","02062",22047,"MA- NORWOOD",227,"MA- BOSTON","25021","MA-Norfolk County",202,"Steward Health Care System, LLC",188,,,"4.Other acute care hosp",,"9.OK?",
"220135","220135","9.OK?","Falmouth Hospital","FALMOUTH HOSPITAL","FALMOUTH","MA","02540",22015,"MA- FALMOUTH",227,"MA- BOSTON","25001","MA-Barnstable County",95,"Cape Cod Healthcare, Inc.",95,,,"4.Other acute care hosp",,"9.OK?",
"220162","220162","9.OK?","Dana-Farber Cancer Institute","DANA-FARBER CANCER INSTITUTE","BOSTON","MA","02115",22006,"MA- BOSTON",227,"MA- BOSTON","25025","MA-Suffolk County",27,,30,,,"4.Other acute care hosp","1.NCI-CCC","9.OK?","noICUdays"
"220163","220163","9.OK?","Umass Memorial Medical Center","UMASS MEMORIAL MEDICAL CENTER INC","WORCESTER","MA","01655",22070,"MA- WORCESTER",231,"MA- WORCESTER","25027","MA-Worcester County",272,"UMass Memorial Health Care, Inc.",654,"Integrated","Major Teaching","1.Integrated AMC",,"9.OK?",
"220171","220171","9.OK?","Lahey Hosp & Med Ctr -Burlington","LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON","BURLINGTON","MA","01803",22008,"MA- BURLINGTON",227,"MA- BOSTON","25017","MA-Middlesex County",327,"Lahey Health",345,"Independent","Major Teaching","2.Other teaching hosp",,"9.OK?",
"220175","220175","9.OK?","Metrowest Medical Center","METROWEST MEDICAL CENTER","FRAMINGHAM","MA","01701",22039,"MA- NATICK",227,"MA- BOSTON","25017","MA-Middlesex County",288,"TENET Healthcare Corporation",160,,,"4.Other acute care hosp",,"9.OK?",
"220176","220176","9.OK?","St. Vincent Hospital","ST VINCENT HOSPITAL","WORCESTER","MA","01608",22070,"MA- WORCESTER",231,"MA- WORCESTER","25027","MA-Worcester County",270,"TENET Healthcare Corporation",283,,,"4.Other acute care hosp",,"9.OK?",
"220177","220177","9.OK?","Nantucket Cottage Hospital","NANTUCKET COTTAGE HOSPITAL","NANTUCKET","MA","02554",22038,"MA- NANTUCKET",227,"MA- BOSTON","25019","MA-Nantucket County",19,"Partners HealthCare System, Inc.",19,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"221300","221300","9.OK?","Martha's Vineyard Hospital","MARTHA'S VINEYARD HOSPITAL INC","OAK BLUFFS","MA","02557",22048,"MA- OAK BLUFFS",227,"MA- BOSTON","25007","MA-Dukes County",19,"Partners HealthCare System, Inc.",25,,,"3.Critical Access Hosp",,"9.OK?",
"221302","221302","9.OK?","Fairview Hospital","FAIRVIEW HOSPITAL","GREAT BARRINGTON","MA","01230",22020,"MA- GREAT BARRINGTON",230,"MA- SPRINGFIELD","25003","MA-Berkshire County",25,"Berkshire Health Systems, Inc.",25,,,"3.Critical Access Hosp",,"9.OK?",
"221303","221303","9.OK?","Athol Memorial Hospital","ATHOL MEMORIAL HOSPITAL","ATHOL","MA","01331",22002,"MA- ATHOL",231,"MA- WORCESTER","25027","MA-Worcester County",25,"Heywood Healthcare",25,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"222000","222000","1.NonAcute","Spaulding Hosp For Continuing Med C","SPAULDING HOSPITAL FOR CONTINUING MED CARE-CAMB","CAMBRIDGE","MA","02138",22009,"MA- CAMBRIDGE",227,"MA- BOSTON","25017","MA-Middlesex County",180,"Partners HealthCare System, Inc.",128,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"222002","222002","1.NonAcute","Kindred Hospital Ne-Stoughton","CURAHEALTH STOUGHTON","STOUGHTON","MA","02072",22060,"MA- STOUGHTON",227,"MA- BOSTON","25021","MA-Norfolk County",221,"Curahealth Hospitals",111,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"222003","222003","1.NonAcute","Tewksbury Hospital","TEWKSBURY HOSPITAL","TEWKSBURY","MA","01876",22027,"MA- LOWELL",227,"MA- BOSTON","25017","MA-Middlesex County",760,"Massachusetts Department of Public Health",381,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"222006","222006","1.NonAcute","Lemuel Shattuck Hospital","LEMUEL SHATTUCK HOSPITAL","JAMAICA PLAIN","MA","02130",22006,"MA- BOSTON",227,"MA- BOSTON","25025","MA-Suffolk County",260,"Massachusetts Department of Public Health",260,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"222007","222007","1.NonAcute","Hebrew Rehabilitation Center","HEBREW REHABILITATION CENTER","BOSTON","MA","02131",22006,"MA- BOSTON",227,"MA- BOSTON","25025","MA-Suffolk County",675,,50,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"222023","222023","1.NonAcute","Western Massachusetts Hospital","WESTERN MASSACHUSETTS HOSPITAL","WESTFIELD","MA","01085",22066,"MA- WESTFIELD",230,"MA- SPRINGFIELD","25013","MA-Hampden County",102,"Massachusetts Department of Public Health",80,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"222027","222027","1.NonAcute","New England Sinai Hospital","NEW ENGLAND SINAI HOSPITAL","STOUGHTON","MA","02072",22060,"MA- STOUGHTON",227,"MA- BOSTON","25021","MA-Norfolk County",212,"Steward Health Care System, LLC",212,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"222043","222043","1.NonAcute","New Bedford Rehabilitation Hospital","VIBRA HOSPITAL OF SOUTHEASTERN MASSACHUSETTS","NEW BEDFORD","MA","02745",22041,"MA- NEW BEDFORD",227,"MA- BOSTON","25005","MA-Bristol County",90,"Vibra Healthcare",90,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"222044","Closed","1.NonAcute","Kindred Hospital Boston-North Shore","CURAHEALTH BOSTON NORTH SHORE","PEABODY","MA","01960",22054,"MA- SALEM",227,"MA- BOSTON","25009","MA-Essex County",50,,,,,"5.Longterm/non-acute",,"1.NonAcute",
"222045","Closed","1.NonAcute","Kindred Hospital-Boston","CURAHEALTH BOSTON","BOSTON","MA","02135",22006,"MA- BOSTON",227,"MA- BOSTON","25025","MA-Suffolk County",59,,,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"222046","222046","1.NonAcute","Vibra Hospital Of Western Mass","VIBRA HOSPITAL OF WESTERN MASSACHUSETTS","SPRINGFIELD","MA","01109",22058,"MA- SPRINGFIELD",230,"MA- SPRINGFIELD","25013","MA-Hampden County",174,"Vibra Healthcare",174,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"222047","222047","1.NonAcute","Whittier Rehab Hosp - Bradford","WHITTIER REHABILITATION HOSPITAL - BRADFORD","BRADFORD","MA","01835",22022,"MA- HAVERHILL",227,"MA- BOSTON","25009","MA-Essex County",60,"Whittier Health Network",60,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"222048","222048","1.NonAcute","Whittier Rehabilitation Hospital","WHITTIER REHABILITATION HOSPITAL","WESTBOROUGH","MA","01581",22070,"MA- WORCESTER",231,"MA- WORCESTER","25027","MA-Worcester County",88,"Whittier Health Network",60,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"230002","230002","9.OK?","St. Mary Mercy Hospital","ST MARY MERCY HOSPITAL","LIVONIA","MI","48154",23066,"MI- LIVONIA",232,"MI- ANN ARBOR","26163","MI-Wayne County",221,"Trinity Health",303,,,"4.Other acute care hosp",,"9.OK?",
"230003","230003","9.OK?","Spectrum Hlth Zeeland Community","SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL","ZEELAND","MI","49464",23127,"MI- ZEELAND",236,"MI- GRAND RAPIDS","26139","MI-Ottawa County",57,"Spectrum Health",50,,,"4.Other acute care hosp",,"9.OK?",
"230005","230005","9.OK?","Promedica Bixby Hospital","PROMEDICA BIXBY HOSPITAL","ADRIAN","MI","49221",23002,"MI- ADRIAN",232,"MI- ANN ARBOR","26091","MI-Lenawee County",65,"ProMedica Health System",66,,,"4.Other acute care hosp",,"9.OK?",
"230013","230013","9.OK?","Doctors' Hospital Of Michigan","PONTIAC GENERAL HOSPITAL","PONTIAC","MI","48341",23091,"MI- PONTIAC",244,"MI- PONTIAC","26125","MI-Oakland County",263,,106,,,"4.Other acute care hosp",,"9.OK?",
"230015","230015","9.OK?","Three Rivers Health","THREE RIVERS HEALTH","THREE RIVERS","MI","49093",23115,"MI- THREE RIVERS",238,"MI- KALAMAZOO","26149","MI-St. Joseph County",40,"QHR",60,,,"4.Other acute care hosp",,"9.OK?",
"230017","230017","9.OK?","Bronson Methodist Hospital","BRONSON METHODIST HOSPITAL","KALAMAZOO","MI","49007",23058,"MI- KALAMAZOO",238,"MI- KALAMAZOO","26077","MI-Kalamazoo County",380,"Bronson Healthcare Group",415,,,"4.Other acute care hosp",,"9.OK?",
"230019","230019","9.OK?","Providence-Providence Park Hospital","PROVIDENCE - PROVIDENCE PARK HOSPITAL","SOUTHFIELD","MI","48075",23105,"MI- SOUTHFIELD",245,"MI- ROYAL OAK","26125","MI-Oakland County",391,"Ascension Healthcare",635,,,"4.Other acute care hosp",,"9.OK?",
"230020","230020","9.OK?","Beaumont Hospital - Dearborn","BEAUMONT HOSPITAL - DEARBORN","DEARBORN","MI","48124",23024,"MI- DEARBORN",233,"MI- DEARBORN","26163","MI-Wayne County",596,"Beaumont Health",632,,,"4.Other acute care hosp",,"9.OK?",
"230021","230021","9.OK?","Lakeland Medical Ctr-St. Joseph","LAKELAND HOSPITAL, ST JOSEPH","ST JOSEPH","MI","49085",23109,"MI- ST JOSEPH",248,"MI- ST JOSEPH","26021","MI-Berrien County",273,"Lakeland Health",300,,,"4.Other acute care hosp",,"9.OK?",
"230022","230022","9.OK?","Community Hlth Ctr Of Branch Cty","PROMEDICA COLDWATER REGIONAL HOSPITAL","COLDWATER","MI","49036",23022,"MI- COLDWATER",238,"MI- KALAMAZOO","26023","MI-Branch County",94,"ProMedica Health System",62,,,"4.Other acute care hosp",,"9.OK?",
"230024","230024","9.OK?","Dmc Sinai-Grace Hospital","SINAI-GRACE HOSPITAL","DETROIT","MI","48235",23026,"MI- DETROIT",234,"MI- DETROIT","26163","MI-Wayne County",933,"TENET Healthcare Corporation",301,,,"4.Other acute care hosp",,"9.OK?",
"230029","230029","9.OK?","St. Joseph Mercy Oakland","ST JOSEPH MERCY OAKLAND","PONTIAC","MI","48341",23091,"MI- PONTIAC",244,"MI- PONTIAC","26125","MI-Oakland County",332,"Trinity Health",411,,,"4.Other acute care hosp",,"9.OK?",
"230030","230030","9.OK?","Midmichigan Med Ctr-Gratiot","MIDMICHIGAN MEDICAL CENTER-GRATIOT","ALMA","MI","48801",23005,"MI- ALMA",239,"MI- LANSING","26057","MI-Gratiot County",99,"MidMichigan Health",96,,,"4.Other acute care hosp",,"9.OK?",
"230031","230031","9.OK?","Lake Huron Medical Center N","LAKE HURON MEDICAL CENTER","PORT HURON","MI","48060",23092,"MI- PORT HURON",234,"MI- DETROIT","26147","MI-St. Clair County",109,"Prime Healthcare Services",119,,,"4.Other acute care hosp",,"9.OK?",
"230035","230035","9.OK?","Spectrum Hlth United Hospital","SPECTRUM HEALTH UNITED HOSPITAL","GREENVILLE","MI","48838",23041,"MI- GREENVILLE",236,"MI- GRAND RAPIDS","26117","MI-Montcalm County",48,"Spectrum Health",46,,,"4.Other acute care hosp",,"9.OK?",
"230036","230036","9.OK?","Midmichigan Medical Ctr - Alpena","MIDMICHIGAN MEDICAL CENTER - ALPENA","ALPENA","MI","49707",23006,"MI- ALPENA",246,"MI- SAGINAW","26007","MI-Alpena County",95,"MidMichigan Health",125,,,"4.Other acute care hosp",,"9.OK?",
"230037","230037","9.OK?","Hillsdale Hospital","HILLSDALE HOSPITAL","HILLSDALE","MI","49242",23049,"MI- HILLSDALE",238,"MI- KALAMAZOO","26059","MI-Hillsdale County",76,,54,,,"4.Other acute care hosp",,"9.OK?",
"230038","230038","9.OK?","Spectrum Hlth - Butterworth Hosp","SPECTRUM HEALTH - BUTTERWORTH CAMPUS","GRAND RAPIDS","MI","49503",23039,"MI- GRAND RAPIDS",236,"MI- GRAND RAPIDS","26081","MI-Kent County",604,"Spectrum Health",1126,"Independent","Other Teaching","2.Other teaching hosp",,"9.OK?",
"230040","230040","9.OK?","Spectrum Hlth Pennock Hospital","SPECTRUM HEALTH PENNOCK","HASTINGS","MI","49058",23047,"MI- HASTINGS",236,"MI- GRAND RAPIDS","26015","MI-Barry County",89,"Spectrum Health",39,,,"4.Other acute care hosp",,"9.OK?",
"230041","230041","9.OK?","Mclaren Bay Region","MCLAREN BAY REGION","BAY CITY","MI","48708",23010,"MI- BAY CITY",246,"MI- SAGINAW","26017","MI-Bay County",345,"McLaren Health Care Corporation",338,,,"4.Other acute care hosp",,"9.OK?",
"230046","230046","9.OK?","University Of Michigan Hospitals","UNIVERSITY OF MICHIGAN HEALTH SYSTEM","ANN ARBOR","MI","48109",23007,"MI- ANN ARBOR",232,"MI- ANN ARBOR","26161","MI-Washtenaw County",704,,982,"Integrated","Major Teaching","1.Integrated AMC","1.NCI-CCC","9.OK?",
"230047","230047","9.OK?","Henry Ford Macomb Hospitals","HENRY FORD MACOMB HOSPITAL","CLINTON TOWNSHIP","MI","48038",23078,"MI- MOUNT CLEMENS",234,"MI- DETROIT","26099","MI-Macomb County",253,"Henry Ford Health System",415,,,"4.Other acute care hosp",,"9.OK?",
"230053","230053","9.OK?","Henry Ford Hospital-Detroit","HENRY FORD HOSPITAL","DETROIT","MI","48202",23026,"MI- DETROIT",234,"MI- DETROIT","26163","MI-Wayne County",896,"Henry Ford Health System",725,"Independent","Major Teaching","2.Other teaching hosp",,"9.OK?",
"230054","230054","9.OK?","Up Health System-Marquette","UP HEALTH SYSTEM - MARQUETTE","MARQUETTE","MI","49855",23072,"MI- MARQUETTE",240,"MI- MARQUETTE","26103","MI-Marquette County",235,"Duke LifePoint Healthcare",260,,,"4.Other acute care hosp",,"9.OK?",
"230055","230055","9.OK?","Dickinson County Healthcare Sys","DICKINSON COUNTY MEMORIAL HOSPITAL","IRON MOUNTAIN","MI","49801",23053,"MI- IRON MOUNTAIN",447,"WI- GREEN BAY","26043","MI-Dickinson County",96,,49,,,"4.Other acute care hosp",,"9.OK?",
"230058","230058","9.OK?","Munson Healthcare Grayling Hospital","MUNSON HEALTHCARE GRAYLING HOSPITAL","GRAYLING","MI","49738",23040,"MI- GRAYLING",249,"MI- TRAVERSE CITY","26039","MI-Crawford County",90,"Munson Healthcare",71,,,"4.Other acute care hosp",,"9.OK?",
"230059","230059","9.OK?","Mercy Health Saint Mary's","SAINT MARY'S HEALTH CARE","GRAND RAPIDS","MI","49503",23039,"MI- GRAND RAPIDS",236,"MI- GRAND RAPIDS","26081","MI-Kent County",114,"Trinity Health",371,,,"4.Other acute care hosp",,"9.OK?",
"230066","230066","9.OK?","Mercy Health, Hackley Campus","MERCY HEALTH MUSKEGON","MUSKEGON","MI","49442",23081,"MI- MUSKEGON",242,"MI- MUSKEGON","26121","MI-Muskegon County",109,"Trinity Health",401,,,"4.Other acute care hosp",,"9.OK?",
"230069","230069","9.OK?","St. Joseph Mercy Livingston Hosp","SAINT JOSEPH MERCY LIVINGSTON HOSPITAL","HOWELL","MI","48843",23051,"MI- HOWELL",232,"MI- ANN ARBOR","26093","MI-Livingston County",136,"Trinity Health",38,,,"4.Other acute care hosp",,"9.OK?",
"230070","230070","9.OK?","Covenant Healthcare","COVENANT MEDICAL CENTER","SAGINAW","MI","48602",23098,"MI- SAGINAW",246,"MI- SAGINAW","26145","MI-Saginaw County",522,,510,,,"4.Other acute care hosp",,"9.OK?",
"230071","230071","9.OK?","Straith Hosp For Special Surgery","STRAITH HOSPITAL FOR SPECIAL SURGERY","SOUTHFIELD","MI","48033",23105,"MI- SOUTHFIELD",245,"MI- ROYAL OAK","26125","MI-Oakland County",34,,24,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"230072","230072","9.OK?","Holland Hospital","HOLLAND COMMUNITY HOSPITAL","HOLLAND","MI","49423",23050,"MI- HOLLAND",236,"MI- GRAND RAPIDS","26139","MI-Ottawa County",177,,130,,,"4.Other acute care hosp",,"9.OK?",
"230075","230075","9.OK?","Bronson Battle Creek","BRONSON BATTLE CREEK HOSPITAL","BATTLE CREEK","MI","49017",23009,"MI- BATTLE CREEK",238,"MI- KALAMAZOO","26025","MI-Calhoun County",124,"Bronson Healthcare Group",198,,,"4.Other acute care hosp",,"9.OK?",
"230077","230077","9.OK?","St. Mary's Of Michigan-Saginaw","ST MARY'S OF MICHIGAN MEDICAL CENTER","SAGINAW","MI","48601",23098,"MI- SAGINAW",246,"MI- SAGINAW","26145","MI-Saginaw County",260,"Ascension Healthcare",286,,,"4.Other acute care hosp",,"9.OK?",
"230078","230078","9.OK?","Lakeland Hospital, Watervliet","LAKELAND HOSPITAL WATERVLIET","WATERVLIET","MI","49098",23120,"MI- WATERVLIET",248,"MI- ST JOSEPH","26021","MI-Berrien County",48,"Lakeland Health",44,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"230080","230080","9.OK?","Mclaren Central Michigan","MCLAREN CENTRAL MICHIGAN","MOUNT PLEASANT","MI","48858",23079,"MI- MOUNT PLEASANT",239,"MI- LANSING","26073","MI-Isabella County",118,"McLaren Health Care Corporation",78,,,"4.Other acute care hosp",,"9.OK?",
"230081","230081","9.OK?","Munson Healthcare Cadillac Hospital","MUNSON HEALTHCARE CADILLAC HOSPITAL","CADILLAC","MI","49601",23013,"MI- CADILLAC",236,"MI- GRAND RAPIDS","26165","MI-Wexford County",97,"Munson Healthcare",49,,,"4.Other acute care hosp",,"9.OK?",
"230085","230085","9.OK?","South Haven Health System","BRONSON SOUTH HAVEN HOSPITAL","SOUTH HAVEN","MI","49090",23104,"MI- SOUTH HAVEN",248,"MI- ST JOSEPH","26159","MI-Van Buren County",82,"Bronson Healthcare Group",49,,,"4.Other acute care hosp",,"9.OK?",
"230089","230089","9.OK?","Beaumont Hospital Grosse Pointe","BEAUMONT HOSPITAL, GROSSE POINTE","GROSSE POINTE","MI","48230",23042,"MI- GROSSE POINTE",234,"MI- DETROIT","26163","MI-Wayne County",297,"Beaumont Health",280,,,"4.Other acute care hosp",,"9.OK?",
"230092","230092","9.OK?","Henry Ford Allegiance Health","HENRY FORD ALLEGIANCE HEALTH","JACKSON","MI","49201",23057,"MI- JACKSON",232,"MI- ANN ARBOR","26075","MI-Jackson County",356,"Henry Ford Health System",401,,,"4.Other acute care hosp",,"9.OK?",
"230093","230093","9.OK?","Spectrum Health Big Rapids Hospital","SPECTRUM HEALTH BIG RAPIDS HOSPITAL","BIG RAPIDS","MI","49307",23012,"MI- BIG RAPIDS",236,"MI- GRAND RAPIDS","26107","MI-Mecosta County",62,"Spectrum Health",48,,,"4.Other acute care hosp",,"9.OK?",
"230095","230095","9.OK?","West Branch Regional Med Ctr","MIDMICHIGAN MEDICAL CENTER - WEST BRANCH","WEST BRANCH","MI","48661",23122,"MI- WEST BRANCH",246,"MI- SAGINAW","26129","MI-Ogemaw County",88,"MidMichigan Health",88,,,"4.Other acute care hosp",,"9.OK?",
"230096","230096","9.OK?","Sturgis Hospital","STURGIS HOSPITAL","STURGIS","MI","49091",23111,"MI- STURGIS",238,"MI- KALAMAZOO","26149","MI-St. Joseph County",94,"QHR",49,,,"4.Other acute care hosp",,"9.OK?",
"230097","230097","9.OK?","Munson Medical Center","MUNSON MEDICAL CENTER","TRAVERSE CITY","MI","49684",23116,"MI- TRAVERSE CITY",249,"MI- TRAVERSE CITY","26055","MI-Grand Traverse County",351,"Munson Healthcare",439,,,"4.Other acute care hosp",,"9.OK?",
"230099","230099","9.OK?","Promedica Monroe Regional Hospital","PROMEDICA MONROE REGIONAL HOSPITAL","MONROE","MI","48162",23076,"MI- MONROE",334,"OH- TOLEDO","26115","MI-Monroe County",195,"ProMedica Health System",100,,,"4.Other acute care hosp",,"9.OK?",
"230100","230100","9.OK?","St. Joseph Health System","TAWAS ST JOSEPH HOSPITAL","TAWAS CITY","MI","48764",23112,"MI- TAWAS CITY",246,"MI- SAGINAW","26069","MI-Iosco County",60,"Ascension Healthcare",20,,,"4.Other acute care hosp",,"9.OK?",
"230104","230104","9.OK?","Dmc Harper University Hospital","HARPER UNIVERSITY HOSPITAL","DETROIT","MI","48201",23026,"MI- DETROIT",234,"MI- DETROIT","26163","MI-Wayne County",658,"TENET Healthcare Corporation",364,,,"4.Other acute care hosp",,"9.OK?",
"230105","230105","9.OK?","Mclaren Northern Michigan","MCLAREN NORTHERN MICHIGAN","PETOSKEY","MI","49770",23088,"MI- PETOSKEY",243,"MI- PETOSKEY","26047","MI-Emmet County",200,"McLaren Health Care Corporation",188,,,"4.Other acute care hosp",,"9.OK?",
"230108","230108","9.OK?","Up Health System-Portage","UP HEALTH SYSTEM PORTAGE","HANCOCK","MI","49930",23044,"MI- HANCOCK",240,"MI- MARQUETTE","26061","MI-Houghton County",36,"LifePoint Health",36,,,"4.Other acute care hosp",,"9.OK?",
"230110","230110","9.OK?","Spectrum Health Ludington Hospital","SPECTRUM HEALTH LUDINGTON HOSPITAL","LUDINGTON","MI","49431",23067,"MI- LUDINGTON",242,"MI- MUSKEGON","26105","MI-Mason County",67,"Spectrum Health",41,,,"4.Other acute care hosp",,"9.OK?",
"230117","230117","9.OK?","Borgess Medical Center","ASCENSION BORGESS HOSPITAL","KALAMAZOO","MI","49048",23058,"MI- KALAMAZOO",238,"MI- KALAMAZOO","26077","MI-Kalamazoo County",307,"Ascension Healthcare",422,,,"4.Other acute care hosp",,"9.OK?",
"230118","230118","9.OK?","Huron Medical Center","MCLAREN THUMB REGION","BAD AXE","MI","48413",23008,"MI- BAD AXE",246,"MI- SAGINAW","26063","MI-Huron County",59,"McLaren Health Care Corporation",46,,,"4.Other acute care hosp",,"9.OK?",
"230121","230121","9.OK?","Memorial Healthcare","MEMORIAL HEALTHCARE","OWOSSO","MI","48867",23086,"MI- OWOSSO",239,"MI- LANSING","26155","MI-Shiawassee County",84,,118,,,"4.Other acute care hosp",,"9.OK?",
"230130","230130","9.OK?","Beaumont Hospital - Royal Oak","BEAUMONT HOSPITAL, ROYAL OAK","ROYAL OAK","MI","48073",23097,"MI- ROYAL OAK",245,"MI- ROYAL OAK","26125","MI-Oakland County",938,"Beaumont Health",1100,"Integrated","Major Teaching","1.Integrated AMC",,"9.OK?",
"230132","230132","9.OK?","Hurley Medical Center","HURLEY MEDICAL CENTER","FLINT","MI","48503",23031,"MI- FLINT",235,"MI- FLINT","26049","MI-Genesee County",244,,418,"Independent","Major Teaching","2.Other teaching hosp",,"9.OK?",
